Tipo;TEMA;SUBTEMA;Escala;Recorte;Dado;Formato;Fonte
Dado;Sociais e populacionais;Desigualdades;Municipal;Guaraqueçaba;Renda Média (por município) - Guaraqueçaba: Faixa de R$ 514,62 a R$ 850,00 (mais baixa);Mapa;Catalogo (IPARDES, 2024)
Dado;Sociais e populacionais;Desigualdades;Municipal;Guaraqueçaba;Domicílios Particulares com Renda Mensal até 1/2 Salários Mínimos. Guaraqueçaba: 51,78 %;Mapa;Catalogo (IPARDES, 2014)
Dado;Sociais e populacionais;Desigualdades;Municipal;Guaraqueçaba;Empregados Sem Carteira Assinada. Guaraqueçaba: 26,80 % (média);Mapa;Catalogo (IPARDES, 2014)
Dado;Sociais e populacionais;Densidade Demográfica;Municipal;Guaraqueçaba;Em relação aos outros municípios do Paraná (muito baixa);Mapa;Catalogo (IPARDES, 2024)
Dado;Sociais e populacionais;Mortalidade;Municipal;Guaraqueçaba;Em relação aos outros municípios do Paraná (muito baixa);Mapa;Catalogo (IPARDES, 2014)
Dado;Cartografia;Localizaçao;Quilombo;Batuva;Localização Comunidade de Batuva;Mapa;TED Q (2024) - EQUIPE CARTO
Dado;Cartografia;Localizaçao;Quilombo;Batuva;Localização Comunidade de Batuva;Mapa;TED Q (2024) - EQUIPE CARTO
Dado;Cartografia;Localizaçao;Quilombo;Rio Verde;Localização Comunidade de Rio Verde;Mapa;TED Q (2024) - EQUIPE CARTO
Dado;Cartografia;Localizaçao;Quilombo;Rio Verde;Localização Comunidade de Rio Verde;Mapa;TED Q (2024) - EQUIPE CARTO
Dado;Cartografia;Matrículas;Municipal;Guaraqueçaba;Matrículas da Arvoredo com e sem conflito possesório;Mapa;TED Q (2024) - EQUIPE CARTO
Dado;Cartografia;CAR;Municipal;Guaraqueçaba;Imoveis;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Municipal;Guaraqueçaba;Reserva Legal;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Municipal;Guaraqueçaba;APP HIDRO;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Municipal;Guaraqueçaba;APP Declividade;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Municipal;Guaraqueçaba;Vegetação Nativa;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Municipal;Guaraqueçaba;Hidrografia;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Municipal;Guaraqueçaba;Área Consolidada;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Municipal;Guaraqueçaba;Área de Pousio;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Municipal;Guaraqueçaba;Servidão Administrativa;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Municipal;Guaraqueçaba;Uso Restrito;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Batuva;PR-4109500-9C8AB4F3D3954999B9CE9B46DDE495F7;Dado Bruto;INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Batuva;Imoveis;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Batuva;Reserva Legal;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Batuva;APP HIDRO;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Batuva;Vegetação Nativa;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Batuva;Hidrografia;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Batuva;Área Consolidada;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Batuva;Área de Pousio;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Batuva;Uso Restrito;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Batuva;Sobreposição de área no CAR;Shapefile;Análise a partir de dados do INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Batuva;Posíveis lindeiros a partir do CAR;Shapefile;Análise a partir de dados do INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Batuva;Levantamento dos CARs em sobreposição e lindeiros;Tabela;Análise a partir de dados do INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Rio Verde;PR-4109500-8F96E23EAED049C394545056C4E66BA4;Dado Bruto;INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Rio Verde;Imoveis;Shapefile;INCRA (2024)
Dado;Cartografia;CAR;Quilombo;Rio Verde;Reserva Legal;Shapefile;INCRA (2024)
